2016_06_14,0.583,0.459,0.526,0.926,0.556,0.728,0,0,1,0,0,-1
2016_06_15,0.598,0.388,0.509,0.827,0.481,0.652,0,1,0,0,0,-1
2016_06_16,0.579,0.453,0.523,0.963,0.642,0.812,1,0,0,0,0,-1
2016_06_17,0.615,0.45,0.54,0.938,0.42,0.645,1,0,0,0,0,-1
2016_06_18,0.568,0.464,0.523,0.852,0.617,0.706,0,1,0,0,0,-1
2016_06_19,0.56,0.461,0.506,0.864,0.63,0.766,0,1,0,0,0,-1
2016_06_20,0.69,0.404,0.555,0.963,0.407,0.657,0,0,0,1,0,-1
2016_06_21,0.635,0.487,0.576,0.938,0.568,0.796,0,1,0,0,0,-1
2016_06_22,0.84,0.5,0.691,0.951,0.432,0.697,1,0,0,0,0,-1
2016_06_23,0.899,0.604,0.768,0.852,0.37,0.611,1,0,0,0,0,-1
2016_06_24,0.885,0.673,0.772,0.877,0.321,0.58,0,1,0,0,0,-1
2016_06_25,0.723,0.505,0.639,0.926,0.58,0.767,0,1,0,0,0,-1
2016_06_26,0.663,0.451,0.555,0.901,0.395,0.645,0,1,0,0,0,-1
2016_06_27,0.687,0.43,0.577,0.778,0.346,0.579,0,1,0,0,0,-1
2016_06_28,0.709,0.484,0.611,0.815,0.494,0.662,1,0,0,0,0,-1
2016_06_29,0.741,0.536,0.649,0.815,0.444,0.644,0,0,0,1,0,-1
2016_06_30,0.67,0.587,0.636,0.802,0.617,0.694,0,0,1,0,0,-1
